nw,it,upd_t,conv_t,latency,error
1,3,0.000112,1.4e-05,0.209478,0.000564573
2,3,0.000409,1.3e-05,0.124588,0.000564573
4,3,0.000442,1.2e-05,0.094046,0.000564573
20,3,0.000531,1.3e-05,0.020385,0.000564573
36,3,0.000666,1.3e-05,0.012718,0.000564573
52,3,0.000796,1.2e-05,0.01012,0.000564573
68,3,0.000943,1.5e-05,0.009615,0.000564573
84,3,0.00106,1.3e-05,0.010829,0.000564573
100,3,0.00118,1.3e-05,0.012312,0.000564573
116,3,0.001285,1.4e-05,0.015071,0.000564573
132,3,0.001415,1.4e-05,0.014543,0.000564573
148,3,0.001541,1.4e-05,0.0159,0.000564573
164,3,0.001662,1.4e-05,0.018494,0.000564573
180,3,0.001996,1.4e-05,0.019944,0.000564573
196,3,0.002194,1.4e-05,0.021394,0.000564573
212,3,0.002058,1.4e-05,0.026934,0.000564573
228,3,0.002222,1.2e-05,0.030783,0.000564573
240,3,0.020001,2.1e-05,0.111676,0.000564573
