nw,it,upd_t,conv_t,latency,error
1,3,0.000802,2.3e-05,1.74034,0.000124961
2,3,0.000966,2.4e-05,0.888333,0.000124961
4,3,0.001032,2.4e-05,0.452287,0.000124961
20,3,0.001088,2.4e-05,0.109389,0.000124961
36,3,0.001109,2.4e-05,0.085337,0.000124716
52,3,0.001114,2.4e-05,0.100982,0.000124716
68,3,0.001108,2.4e-05,0.119233,0.000124484
84,3,0.001112,2.4e-05,0.142296,0.000124315
100,3,0.001106,2.6e-05,0.158814,0.000124961
116,3,0.001098,2.5e-05,0.179469,0.000124553
132,3,0.001097,2.4e-05,0.194572,0.000123745
148,3,0.001094,2.5e-05,0.23833,0.000124227
164,3,0.001091,2.5e-05,0.240523,0.00012382
180,3,0.001085,2.4e-05,0.240367,0.000124079
196,3,0.001152,2.4e-05,0.255373,0.000123509
212,3,0.0011,2.4e-05,0.302668,0.000122622
228,3,0.001077,2.3e-05,0.311441,0.000122374
240,3,0.001162,2.4e-05,0.333829,0.000123253
